iteration,total_runs,obs_realization,par_realization,conc,pconc,k_m,z,z_aa,sill_m,range_m,af_m,aa_m,k
0,300,0,0,682567,0,0,0,0,0,0,0,0,0
0,300,1,1,213222,0,0,0,0,0,0,0,0,0
0,300,2,2,1.13792e+06,0,0,0,0,0,0,0,0,0
0,300,3,3,649288,0,0,0,0,0,0,0,0,0
0,300,4,4,351453,0,0,0,0,0,0,0,0,0
0,300,5,5,900290,0,0,0,0,0,0,0,0,0
0,300,6,6,634812,0,0,0,0,0,0,0,0,0
0,300,7,7,1.60872e+06,0,0,0,0,0,0,0,0,0
0,300,8,8,2.17835e+06,0,0,0,0,0,0,0,0,0
0,300,9,9,897786,0,0,0,0,0,0,0,0,0
0,300,10,10,1.74969e+06,0,0,0,0,0,0,0,0,0
0,300,11,11,551965,0,0,0,0,0,0,0,0,0
0,300,12,12,769339,0,0,0,0,0,0,0,0,0
0,300,13,13,308634,0,0,0,0,0,0,0,0,0
0,300,14,14,1.2308e+06,0,0,0,0,0,0,0,0,0
0,300,15,15,621970,0,0,0,0,0,0,0,0,0
0,300,16,16,2.08376e+06,0,0,0,0,0,0,0,0,0
0,300,17,17,465237,0,0,0,0,0,0,0,0,0
0,300,18,18,684220,0,0,0,0,0,0,0,0,0
0,300,19,19,562750,0,0,0,0,0,0,0,0,0
0,300,20,20,554203,0,0,0,0,0,0,0,0,0
0,300,21,21,687980,0,0,0,0,0,0,0,0,0
0,300,22,22,400231,0,0,0,0,0,0,0,0,0
0,300,23,23,876804,0,0,0,0,0,0,0,0,0
0,300,24,24,577868,0,0,0,0,0,0,0,0,0
0,300,25,25,1.22615e+06,0,0,0,0,0,0,0,0,0
0,300,26,26,620062,0,0,0,0,0,0,0,0,0
0,300,27,27,1.29605e+06,0,0,0,0,0,0,0,0,0
0,300,28,28,584238,0,0,0,0,0,0,0,0,0
0,300,29,29,675236,0,0,0,0,0,0,0,0,0
0,300,30,30,384651,0,0,0,0,0,0,0,0,0
0,300,31,31,1.0198e+06,0,0,0,0,0,0,0,0,0
0,300,32,32,669419,0,0,0,0,0,0,0,0,0
0,300,33,33,1.15562e+06,0,0,0,0,0,0,0,0,0
0,300,34,34,998930,0,0,0,0,0,0,0,0,0
0,300,35,35,1.60616e+06,0,0,0,0,0,0,0,0,0
0,300,36,36,670845,0,0,0,0,0,0,0,0,0
0,300,37,37,1.08665e+06,0,0,0,0,0,0,0,0,0
0,300,38,38,1.16541e+06,0,0,0,0,0,0,0,0,0
0,300,39,39,640831,0,0,0,0,0,0,0,0,0
