obsnme,obsval,weight,obgnme
mw1_1,0.0005056,100.0,conc
mw1_2,0.0049999,100.0,conc
mw1_3,-0.009957,100.0,conc
mw1_4,0.0069443,100.0,conc
mw1_5,-0.0041542,100.0,conc
mw1_6,-0.01576,100.0,conc
mw1_7,-0.0062549,100.0,conc
mw1_8,0.0065042,100.0,conc
mw1_9,0.0044227,100.0,conc
mw1_10,-0.0093245,100.0,conc
mw1_11,0.0101,100.0,conc
mw1_12,0.0058052,100.0,conc
mw1_13,0.015048,100.0,conc
mw1_14,0.01991,100.0,conc
mw1_15,0.012798,100.0,conc
mw1_16,0.037902,100.0,conc
mw1_17,0.040769,100.0,conc
mw1_18,0.077245,100.0,conc
mw1_19,0.086399,100.0,conc
mw1_20,0.09933,100.0,conc
mw1_21,0.11081,100.0,conc
mw1_22,0.14472,100.0,conc
mw1_23,0.1707,100.0,conc
mw1_24,0.18296,100.0,conc
mw1_25,0.24385,100.0,conc
mw1_26,0.25241,100.0,conc
mw1_27,0.29219,100.0,conc
mw1_28,0.29062,100.0,conc
mw1_29,0.34404,100.0,conc
mw1_30,0.33929,100.0,conc
mw1_31,0.37076,100.0,conc
mw1_32,0.40613,100.0,conc
mw1_33,0.42364,100.0,conc
mw1_34,0.42103,100.0,conc
mw1_35,0.454,100.0,conc
mw1_36,0.49291,100.0,conc
mw1_37,0.52393,100.0,conc
mw1_38,0.5298,100.0,conc
mw1_39,0.53462,100.0,conc
mw1_40,0.56126,100.0,conc
mw1_41,0.55699,100.0,conc
mw1_42,0.58793,100.0,conc
mw1_43,0.58308,100.0,conc
mw1_44,0.60954,100.0,conc
mw1_45,0.62079,100.0,conc
mw1_46,0.64202,100.0,conc
mw1_47,0.64235,100.0,conc
mw1_48,0.66827,100.0,conc
mw1_49,0.66468,100.0,conc
mw1_50,0.68497,100.0,conc
mw1_51,0.694,100.0,conc
mw1_52,0.67685,100.0,conc
mw1_53,0.7044,100.0,conc
mw1_54,0.71279,100.0,conc
mw1_55,0.71271,100.0,conc
mw1_56,0.73006,100.0,conc
mw1_57,0.72117,100.0,conc
mw1_58,0.74846,100.0,conc
mw1_59,0.75486,100.0,conc
mw1_60,0.75935,100.0,conc
mw1_61,0.78744,100.0,conc
mw1_62,0.77229,100.0,conc
mw1_63,0.77533,100.0,conc
mw1_64,0.77305,100.0,conc
mw1_65,0.78887,100.0,conc
mw1_66,0.78164,100.0,conc
mw1_67,0.8092,100.0,conc
mw1_68,0.79506,100.0,conc
mw1_69,0.80805,100.0,conc
mw1_70,0.83117,100.0,conc
mw1_71,0.82758,100.0,conc
mw1_72,0.82291,100.0,conc
mw1_73,0.8387,100.0,conc
mw1_74,0.82864,100.0,conc
mw1_75,0.84132,100.0,conc
mw1_76,0.83762,100.0,conc
mw1_77,0.83233,100.0,conc
mw1_78,0.84952,100.0,conc
mw1_79,0.8583,100.0,conc
mw1_80,0.84912,100.0,conc
mw1_81,0.84513,100.0,conc
mw1_82,0.85424,100.0,conc
mw1_83,0.83904,100.0,conc
mw1_84,0.85999,100.0,conc
mw1_85,0.85839,100.0,conc
mw1_86,0.8923,100.0,conc
mw1_87,0.86929,100.0,conc
mw1_88,0.86229,100.0,conc
mw1_89,0.88914,100.0,conc
mw1_90,0.88133,100.0,conc
mw1_91,0.88615,100.0,conc
mw1_92,0.89008,100.0,conc
mw1_93,0.89274,100.0,conc
mw1_94,0.88931,100.0,conc
mw1_95,0.90495,100.0,conc
mw1_96,0.90292,100.0,conc
mw1_97,0.89496,100.0,conc
mw1_98,0.90039,100.0,conc
mw1_99,0.89477,100.0,conc
mw1_100,0.90909,100.0,conc
mw2_101,0.0073825,100.0,conc
mw2_102,0.0065075,100.0,conc
mw2_103,0.0061474,100.0,conc
mw2_104,-0.0012657,100.0,conc
mw2_105,0.015789,100.0,conc
