parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
k_m,fixed,factor,1.0,0.1,10.0,k,1.0,0.0,1.0
sill_m,fixed,factor,4.0,0.5,6.0,sill_m,1.0,0.0,1.0
range_m,log,factor,0.2,0.1,2.0,range_m,1.0,0.0,1.0
af_m,log,factor,1.01,1.0,10.0,af_m,1.0,0.0,1.0
aa_m,none,relative,0.0,-1.571,1.571,aa_m,1.0,0.0,1.0
z1,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z2,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z3,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z4,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z5,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z6,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z7,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z8,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z9,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z10,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z11,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z12,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z13,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z14,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z15,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z16,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z17,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z18,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z19,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z20,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z21,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z22,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z23,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z24,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z25,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z26,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z27,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z28,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z29,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z30,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
z31,none,relative,0.0,-3.0,3.0,z,1.0,0.0,1.0
