time,MW1,MW2,MW3,MW4,MW5,MW6,MW7,MW8,MW9,MW10
2.000000000000,0.3685E-07,0.1886E-11,0.9077E-07,-0.3905E-10,0.1439E-05,0.2588E-08,0.5157E-05,0.9708E-42,0.1331E-50,0.1670E-35
4.000000000000,0.3439E-06,-0.1491E-11,0.1478E-05,0.2144E-10,0.1502E-04,0.2770E-07,0.5166E-04,0.1921E-40,0.4066E-49,0.2440E-34
6.000000000000,0.1660E-05,-0.2161E-10,0.6702E-05,0.2502E-09,0.8914E-04,0.9354E-07,0.2801E-03,0.1417E-39,0.5298E-48,0.1850E-33
8.000000000000,0.7128E-05,-0.1361E-10,0.2790E-04,0.1869E-08,0.3717E-03,0.3585E-06,0.1058E-02,0.6990E-39,0.4264E-47,0.9323E-33
10.00000000000,0.2359E-04,-0.1911E-12,0.9665E-04,0.6019E-08,0.1206E-02,0.9323E-06,0.3107E-02,0.2529E-38,0.2540E-46,0.3532E-32
12.00000000000,0.7015E-04,0.1367E-10,0.2843E-03,0.1461E-07,0.3226E-02,0.2059E-05,0.7542E-02,0.7391E-38,0.1208E-45,0.1099E-31
14.00000000000,0.1838E-03,0.2154E-09,0.7269E-03,0.3756E-07,0.7394E-02,0.5036E-05,0.1575E-01,0.1887E-37,0.4803E-45,0.2943E-31
16.00000000000,0.4324E-03,0.7522E-09,0.1653E-02,0.8132E-07,0.1492E-01,0.1088E-04,0.2911E-01,0.4484E-37,0.1644E-44,0.6889E-31
18.00000000000,0.9236E-03,0.2595E-08,0.3400E-02,0.1651E-06,0.2707E-01,0.2276E-04,0.4865E-01,0.1040E-36,0.4937E-44,0.1378E-30
20.00000000000,0.1817E-02,0.5388E-08,0.6402E-02,0.3200E-06,0.4485E-01,0.4562E-04,0.7483E-01,0.2374E-36,0.1315E-43,0.2155E-30
22.00000000000,0.3323E-02,0.1116E-07,0.1116E-01,0.5786E-06,0.6884E-01,0.8708E-04,0.1074,0.5329E-36,0.3109E-43,0.1577E-30
24.00000000000,0.5697E-02,0.2391E-07,0.1818E-01,0.1032E-05,0.9897E-01,0.1590E-03,0.1456,0.1195E-35,0.6442E-43,-0.5221E-30
26.00000000000,0.9225E-02,0.5088E-07,0.2789E-01,0.1796E-05,0.1346,0.2783E-03,0.1883,0.2777E-35,0.1119E-42,-0.3139E-29
28.00000000000,0.1420E-01,0.9321E-07,0.4057E-01,0.3039E-05,0.1747,0.4686E-03,0.2339,0.6931E-35,0.1383E-42,-0.1082E-28
30.00000000000,0.2089E-01,0.2004E-06,0.5632E-01,0.5013E-05,0.2179,0.7617E-03,0.2811,0.1886E-34,0.4389E-45,-0.3037E-28
32.00000000000,0.2951E-01,0.4257E-06,0.7505E-01,0.8112E-05,0.2627,0.1198E-02,0.3287,0.5427E-34,-0.7342E-42,-0.7548E-28
34.00000000000,0.4022E-01,0.9111E-06,0.9648E-01,0.1287E-04,0.3076,0.1829E-02,0.3756,0.1568E-33,-0.3192E-41,-0.1723E-27
36.00000000000,0.5309E-01,0.1918E-05,0.1202,0.2003E-04,0.3514,0.2713E-02,0.4209,0.4351E-33,-0.1004E-40,-0.3684E-27
38.00000000000,0.6811E-01,0.3921E-05,0.1457,0.3036E-04,0.3936,0.3919E-02,0.4640,0.1139E-32,-0.2712E-40,-0.7467E-27
40.00000000000,0.8520E-01,0.7747E-05,0.1724,0.4515E-04,0.4334,0.5522E-02,0.5046,0.2798E-32,-0.6658E-40,-0.1447E-26
42.00000000000,0.1042,0.1479E-04,0.1997,0.6613E-04,0.4707,0.7602E-02,0.5424,0.6478E-32,-0.1523E-39,-0.2696E-26
44.00000000000,0.1249,0.2726E-04,0.2272,0.9552E-04,0.5053,0.1024E-01,0.5773,0.1422E-31,-0.3295E-39,-0.4852E-26
46.00000000000,0.1470,0.4854E-04,0.2545,0.1361E-03,0.5371,0.1352E-01,0.6094,0.2975E-31,-0.6796E-39,-0.8461E-26
48.00000000000,0.1704,0.8372E-04,0.2811,0.1914E-03,0.5662,0.1750E-01,0.6388,0.5978E-31,-0.1344E-38,-0.1434E-25
50.00000000000,0.1946,0.1401E-03,0.3068,0.2658E-03,0.5929,0.2227E-01,0.6656,0.1160E-30,-0.2561E-38,-0.2367E-25
52.00000000000,0.2195,0.2276E-03,0.3314,0.3648E-03,0.6172,0.2786E-01,0.6900,0.2183E-30,-0.4712E-38,-0.3815E-25
54.00000000000,0.2447,0.3596E-03,0.3548,0.4949E-03,0.6393,0.3433E-01,0.7122,0.4000E-30,-0.8388E-38,-0.6012E-25
56.00000000000,0.2701,0.5535E-03,0.3769,0.6638E-03,0.6594,0.4169E-01,0.7323,0.7158E-30,-0.1446E-37,-0.9280E-25
58.00000000000,0.2953,0.8308E-03,0.3977,0.8809E-03,0.6777,0.4997E-01,0.7505,0.1253E-29,-0.2416E-37,-0.1404E-24
60.00000000000,0.3203,0.1218E-02,0.4172,0.1157E-02,0.6944,0.5915E-01,0.7670,0.2148E-29,-0.3909E-37,-0.2085E-24
62.00000000000,0.3449,0.1745E-02,0.4355,0.1503E-02,0.7098,0.6922E-01,0.7820,0.3612E-29,-0.6117E-37,-0.3037E-24
64.00000000000,0.3689,0.2448E-02,0.4527,0.1934E-02,0.7240,0.8016E-01,0.7956,0.5964E-29,-0.9227E-37,-0.4337E-24
66.00000000000,0.3922,0.3364E-02,0.4688,0.2464E-02,0.7373,0.9191E-01,0.8080,0.9685E-29,-0.1335E-36,-0.6075E-24
68.00000000000,0.4147,0.4534E-02,0.4839,0.3110E-02,0.7496,0.1044,0.8191,0.1549E-28,-0.1834E-36,-0.8342E-24
70.00000000000,0.4364,0.6000E-02,0.4981,0.3887E-02,0.7610,0.1177,0.8290,0.2442E-28,-0.2349E-36,-0.1123E-23
72.00000000000,0.4565,0.7807E-02,0.5115,0.4814E-02,0.7718,0.1316,0.8377,0.3799E-28,-0.2697E-36,-0.1485E-23
74.00000000000,0.4749,0.9994E-02,0.5241,0.5909E-02,0.7818,0.1461,0.8453,0.5838E-28,-0.2478E-36,-0.1928E-23
76.00000000000,0.4924,0.1260E-01,0.5360,0.7190E-02,0.7912,0.1606,0.8523,0.8868E-28,-0.9171E-37,-0.2460E-23
78.00000000000,0.5093,0.1566E-01,0.5473,0.8674E-02,0.8001,0.1752,0.8590,0.1332E-27,0.3410E-36,-0.3091E-23
80.00000000000,0.5259,0.1919E-01,0.5580,0.1038E-01,0.8085,0.1901,0.8656,0.1980E-27,0.1301E-35,-0.3826E-23
82.00000000000,0.5420,0.2323E-01,0.5683,0.1232E-01,0.8164,0.2053,0.8719,0.2913E-27,0.3214E-35,-0.4667E-23
84.00000000000,0.5577,0.2777E-01,0.5780,0.1450E-01,0.8238,0.2208,0.8780,0.4243E-27,0.6784E-35,-0.5608E-23
86.00000000000,0.5728,0.3283E-01,0.5874,0.1695E-01,0.8309,0.2363,0.8839,0.6118E-27,0.1315E-34,-0.6627E-23
88.00000000000,0.5875,0.3840E-01,0.5963,0.1967E-01,0.8375,0.2520,0.8893,0.8734E-27,0.2414E-34,-0.7683E-23
90.00000000000,0.6015,0.4447E-01,0.6049,0.2265E-01,0.8438,0.2677,0.8945,0.1235E-26,0.4257E-34,-0.8713E-23
92.00000000000,0.6148,0.5102E-01,0.6132,0.2592E-01,0.8498,0.2833,0.8994,0.1729E-26,0.7283E-34,-0.9634E-23
94.00000000000,0.6274,0.5802E-01,0.6212,0.2946E-01,0.8555,0.2989,0.9039,0.2398E-26,0.1215E-33,-0.1032E-22
96.00000000000,0.6392,0.6545E-01,0.6288,0.3328E-01,0.8609,0.3144,0.9081,0.3295E-26,0.1987E-33,-0.1060E-22
98.00000000000,0.6503,0.7326E-01,0.6362,0.3736E-01,0.8660,0.3297,0.9121,0.4488E-26,0.3189E-33,-0.1019E-22
