name,value,group,weight
c_mw1_001,0.0005056,conc,100
c_mw1_002,0.0049999,conc,100
c_mw1_003,-0.009957,conc,100
c_mw1_004,0.0069443,conc,100
c_mw1_005,-0.0041542,conc,100
c_mw1_006,-0.01576,conc,100
c_mw1_007,-0.0062549,conc,100
c_mw1_008,0.0065043,conc,100
c_mw1_009,0.0044225,conc,100
c_mw1_010,-0.0093248,conc,100
c_mw1_011,0.0101,conc,100
c_mw1_012,0.0058051,conc,100
c_mw1_013,0.015051,conc,100
c_mw1_014,0.019913,conc,100
c_mw1_015,0.012802,conc,100
c_mw1_016,0.0379,conc,100
c_mw1_017,0.040771,conc,100
c_mw1_018,0.07725,conc,100
c_mw1_019,0.086403,conc,100
c_mw1_020,0.099331,conc,100
c_mw1_021,0.11077,conc,100
c_mw1_022,0.14474,conc,100
c_mw1_023,0.1707,conc,100
c_mw1_024,0.18291,conc,100
c_mw1_025,0.24383,conc,100
c_mw1_026,0.25244,conc,100
c_mw1_027,0.29222,conc,100
c_mw1_028,0.29057,conc,100
c_mw1_029,0.34406,conc,100
c_mw1_030,0.33929,conc,100
c_mw1_031,0.37079,conc,100
c_mw1_032,0.40612,conc,100
c_mw1_033,0.42368,conc,100
c_mw1_034,0.42102,conc,100
c_mw1_035,0.45404,conc,100
c_mw1_036,0.49288,conc,100
c_mw1_037,0.52388,conc,100
c_mw1_038,0.52975,conc,100
c_mw1_039,0.53464,conc,100
c_mw1_040,0.56127,conc,100
c_mw1_041,0.55696,conc,100
c_mw1_042,0.5879,conc,100
c_mw1_043,0.58313,conc,100
c_mw1_044,0.60951,conc,100
c_mw1_045,0.62079,conc,100
c_mw1_046,0.64202,conc,100
c_mw1_047,0.64237,conc,100
c_mw1_048,0.66832,conc,100
c_mw1_049,0.66473,conc,100
c_mw1_050,0.68497,conc,100
c_mw1_051,0.69397,conc,100
c_mw1_052,0.67689,conc,100
c_mw1_053,0.70438,conc,100
c_mw1_054,0.71276,conc,100
c_mw1_055,0.71271,conc,100
c_mw1_056,0.73009,conc,100
c_mw1_057,0.72114,conc,100
c_mw1_058,0.74846,conc,100
c_mw1_059,0.7549,conc,100
c_mw1_060,0.7593,conc,100
c_mw1_061,0.78747,conc,100
c_mw1_062,0.77232,conc,100
c_mw1_063,0.77537,conc,100
c_mw1_064,0.77308,conc,100
c_mw1_065,0.78887,conc,100
c_mw1_066,0.78168,conc,100
c_mw1_067,0.80922,conc,100
c_mw1_068,0.79502,conc,100
c_mw1_069,0.80808,conc,100
c_mw1_070,0.8312,conc,100
c_mw1_071,0.82754,conc,100
c_mw1_072,0.82293,conc,100
c_mw1_073,0.8387,conc,100
c_mw1_074,0.82865,conc,100
c_mw1_075,0.84135,conc,100
c_mw1_076,0.83759,conc,100
c_mw1_077,0.83235,conc,100
c_mw1_078,0.8495,conc,100
c_mw1_079,0.85835,conc,100
c_mw1_080,0.84914,conc,100
c_mw1_081,0.84513,conc,100
c_mw1_082,0.85422,conc,100
c_mw1_083,0.839,conc,100
c_mw1_084,0.86002,conc,100
c_mw1_085,0.85835,conc,100
c_mw1_086,0.89232,conc,100
c_mw1_087,0.86925,conc,100
c_mw1_088,0.86227,conc,100
c_mw1_089,0.88911,conc,100
c_mw1_090,0.88135,conc,100
c_mw1_091,0.88619,conc,100
c_mw1_092,0.89009,conc,100
c_mw1_093,0.89269,conc,100
c_mw1_094,0.88936,conc,100
c_mw1_095,0.90495,conc,100
c_mw1_096,0.90293,conc,100
c_mw1_097,0.89494,conc,100
c_mw1_098,0.90039,conc,100
c_mw1_099,0.89476,conc,100
c_mw1_100,0.90911,conc,100
c_mw2_001,0.0073825,conc,100
c_mw2_002,0.0065075,conc,100
c_mw2_003,0.0061474,conc,100
c_mw2_004,-0.0012657,conc,100
c_mw2_005,0.015789,conc,100
c_mw2_006,-0.0020716,conc,100
c_mw2_007,0.0003012,conc,100
c_mw2_008,-0.0033606,conc,100
c_mw2_009,0.0008151,conc,100
c_mw2_010,-0.0024,conc,100
c_mw2_011,0.020332,conc,100
c_mw2_012,0.0042786,conc,100
c_mw2_013,-0.016792,conc,100
c_mw2_014,-0.0042727,conc,100
c_mw2_015,-0.014049,conc,100
c_mw2_016,0.0089843,conc,100
c_mw2_017,0.014041,conc,100
c_mw2_018,-0.0040541,conc,100
c_mw2_019,0.0068213,conc,100
c_mw2_020,-0.0010966,conc,100
c_mw2_021,0.0055156,conc,100
c_mw2_022,0.019327,conc,100
c_mw2_023,-0.0007575,conc,100
c_mw2_024,-0.0086674,conc,100
c_mw2_025,0.011995,conc,100
c_mw2_026,0.011374,conc,100
c_mw2_027,0.014614,conc,100
c_mw2_028,0.020102,conc,100
c_mw2_029,0.0052985,conc,100
c_mw2_030,-0.0049601,conc,100
c_mw2_031,0.028029,conc,100
c_mw2_032,0.016783,conc,100
c_mw2_033,0.012386,conc,100
c_mw2_034,0.016677,conc,100
c_mw2_035,0.043854,conc,100
c_mw2_036,0.038888,conc,100
c_mw2_037,0.044899,conc,100
c_mw2_038,0.055424,conc,100
c_mw2_039,0.045421,conc,100
c_mw2_040,0.046439,conc,100
c_mw2_041,0.05484,conc,100
c_mw2_042,0.058164,conc,100
c_mw2_043,0.072289,conc,100
c_mw2_044,0.07239,conc,100
c_mw2_045,0.087886,conc,100
c_mw2_046,0.088962,conc,100
c_mw2_047,0.0993,conc,100
c_mw2_048,0.113,conc,100
c_mw2_049,0.12681,conc,100
c_mw2_050,0.13476,conc,100
c_mw2_051,0.12675,conc,100
c_mw2_052,0.13402,conc,100
c_mw2_053,0.13312,conc,100
c_mw2_054,0.15446,conc,100
c_mw2_055,0.16592,conc,100
c_mw2_056,0.15076,conc,100
c_mw2_057,0.17034,conc,100
c_mw2_058,0.1654,conc,100
c_mw2_059,0.17279,conc,100
c_mw2_060,0.18214,conc,100
c_mw2_061,0.18199,conc,100
c_mw2_062,0.20045,conc,100
c_mw2_063,0.18204,conc,100
c_mw2_064,0.19535,conc,100
c_mw2_065,0.20641,conc,100
c_mw2_066,0.20225,conc,100
c_mw2_067,0.22141,conc,100
c_mw2_068,0.20755,conc,100
c_mw2_069,0.22805,conc,100
c_mw2_070,0.2179,conc,100
c_mw2_071,0.23545,conc,100
c_mw2_072,0.24648,conc,100
c_mw2_073,0.26784,conc,100
c_mw2_074,0.26098,conc,100
c_mw2_075,0.27057,conc,100
c_mw2_076,0.25918,conc,100
c_mw2_077,0.28376,conc,100
c_mw2_078,0.26419,conc,100
c_mw2_079,0.26788,conc,100
c_mw2_080,0.26148,conc,100
