name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
C_MW1_001,0.0005056,1.51864e-18,0.0005056,0.0005056,0.0005056,0.0005056,3.82487e-08,3.69696e-08,1.86338e-09,5.62313e-07,7.52183e-08,1.27905e-09,0.000505038
C_MW1_002,0.0049999,2.16949e-17,0.0049999,0.0049999,0.0049999,0.0049999,5.52161e-07,3.95697e-07,5.35151e-08,4.91674e-06,9.47858e-07,1.56464e-07,0.00499498
C_MW1_003,-0.009957,2.25627e-17,-0.009957,-0.009957,-0.009957,-0.009957,3.1035e-06,2.12573e-06,4.62074e-07,2.70478e-05,5.22924e-06,9.77767e-07,0.00995746
C_MW1_004,0.0069443,1.82237e-17,0.0069443,0.0069443,0.0069443,0.0069443,1.28541e-05,8.96085e-06,1.83344e-06,0.00011092,2.18149e-05,3.89325e-06,0.00683338
C_MW1_005,-0.0041542,6.94237e-18,-0.0041542,-0.0041542,-0.0041542,-0.0041542,4.48888e-05,3.01679e-05,5.90394e-06,0.000361253,7.50567e-05,1.47209e-05,0.0041601
C_MW1_006,-0.01576,5.20677e-17,-0.01576,-0.01576,-0.01576,-0.01576,0.000134086,8.49e-05,1.76279e-05,0.000982923,0.000218986,4.91865e-05,0.0157776
C_MW1_007,-0.0062549,3.03729e-17,-0.0062549,-0.0062549,-0.0062549,-0.0062549,0.000349489,0.000206489,4.70963e-05,0.00231201,0.000555978,0.000142999,0.006302
C_MW1_008,0.0065043,2.25627e-17,0.0065043,0.0065043,0.0065043,0.0065043,0.000810719,0.000444999,0.000114094,0.00482467,0.00125572,0.00036572,0.00167963
C_MW1_010,-0.0093248,3.29762e-17,-0.0093248,-0.0093248,-0.0093248,-0.0093248,0.00328074,0.00154146,0.000523401,0.015784,0.0048222,0.00173929,0.0098482
C_MW2_001,0.0073825,2.34305e-17,0.0073825,0.0073825,0.0073825,0.0073825,4.72469e-11,6.5674e-10,-1.12709e-09,9.28655e-09,7.03987e-10,-6.09493e-10,0.00738249
C_MW2_002,0.0065075,3.55796e-17,0.0065075,0.0065075,0.0065075,0.0065075,1.45773e-09,6.58402e-09,-6.53855e-10,1.46211e-07,8.04175e-09,-5.12628e-09,0.00650735
C_MW2_003,0.0061474,1.82237e-17,0.0061474,0.0061474,0.0061474,0.0061474,9.86777e-09,4.38493e-08,-2.46199e-11,9.2495e-07,5.37171e-08,-3.39815e-08,0.00614648
C_MW2_004,-0.0012657,1.51864e-18,-0.0012657,-0.0012657,-0.0012657,-0.0012657,4.79513e-08,1.91067e-07,-1.45493e-13,4.08268e-06,2.39018e-07,-1.43116e-07,0.0012657
C_MW2_005,0.015789,6.59525e-17,0.015789,0.015789,0.015789,0.015789,1.5804e-07,6.23594e-07,-2.19524e-16,1.32074e-05,7.81634e-07,-4.65553e-07,0.0157758
C_MW2_006,-0.0020716,8.67796e-19,-0.0020716,-0.0020716,-0.0020716,-0.0020716,4.22094e-07,1.84553e-06,1.4006e-16,3.94786e-05,2.26762e-06,-1.42344e-06,0.0020716
C_MW2_007,0.0003012,5.42372e-19,0.0003012,0.0003012,0.0003012,0.0003012,1.0689e-06,4.96307e-06,9.34067e-16,0.000105033,6.03198e-06,-3.89417e-06,0.000196167
C_MW2_008,-0.0033606,1.51864e-17,-0.0033606,-0.0033606,-0.0033606,-0.0033606,2.59021e-06,1.20601e-05,2.95437e-15,0.000250423,1.46503e-05,-9.46993e-06,0.0033606
C_MW2_009,0.0008151,3.25423e-18,0.0008151,0.0008151,0.0008151,0.0008151,5.86066e-06,2.68417e-05,5.39619e-15,0.000544607,3.27023e-05,-2.0981e-05,0.000270493
C_MW2_010,-0.0024,1.73559e-18,-0.0024,-0.0024,-0.0024,-0.0024,1.24058e-05,5.51607e-05,1.1771e-14,0.00109056,6.75665e-05,-4.2755e-05,0.0024
C_MW2_011,0.020332,1.04135e-17,0.020332,0.020332,0.020332,0.020332,2.47307e-05,0.000105657,1.8546e-14,0.0020305,0.000130387,-8.09259e-05,0.0183015
