time,MW1,MW2,MW3,MW4,MW5,MW6,MW7,MW8,MW9,MW10
2.000000000000,0.2765E-07,0.8029E-10,0.3732E-06,-0.2108E-09,0.3650E-05,0.1187E-07,0.5211E-05,0.1116E-30,0.2308E-38,0.1530E-43
4.000000000000,0.3567E-06,0.6164E-09,0.2933E-05,-0.4437E-10,0.3690E-04,0.4827E-07,0.5041E-04,0.2244E-29,0.5634E-37,0.3511E-42
6.000000000000,0.2062E-05,0.2635E-08,0.1557E-04,0.1553E-08,0.2064E-03,0.3063E-06,0.2703E-03,0.1544E-28,0.5438E-36,0.3705E-41
8.000000000000,0.8720E-05,0.1508E-07,0.6164E-04,0.3516E-08,0.8035E-03,0.1023E-05,0.1019E-02,0.7098E-28,0.3571E-35,0.2670E-40
10.00000000000,0.3103E-04,0.6093E-07,0.1970E-03,0.1562E-07,0.2426E-02,0.3091E-05,0.2996E-02,0.2466E-27,0.1802E-34,0.1487E-39
12.00000000000,0.9445E-04,0.1740E-06,0.5324E-03,0.3623E-07,0.6040E-02,0.8171E-05,0.7299E-02,0.6874E-27,0.7495E-34,0.6820E-39
14.00000000000,0.2520E-03,0.3207E-06,0.1256E-02,0.7699E-07,0.1291E-01,0.1997E-04,0.1532E-01,0.1562E-26,0.2668E-33,0.2678E-38
16.00000000000,0.5977E-03,0.7349E-06,0.2645E-02,0.1786E-06,0.2437E-01,0.4473E-04,0.2847E-01,0.2868E-26,0.8340E-33,0.9235E-38
18.00000000000,0.1284E-02,0.1552E-05,0.5062E-02,0.3723E-06,0.4152E-01,0.9347E-04,0.4786E-01,0.3580E-26,0.2325E-32,0.2839E-37
20.00000000000,0.2527E-02,0.3191E-05,0.8923E-02,0.6889E-06,0.6493E-01,0.1823E-03,0.7398E-01,-0.1856E-27,0.5836E-32,0.7848E-37
22.00000000000,0.4608E-02,0.6632E-05,0.1465E-01,0.1289E-05,0.9455E-01,0.3368E-03,0.1066,-0.2018E-25,0.1322E-31,0.1956E-36
24.00000000000,0.7858E-02,0.1298E-04,0.2260E-01,0.2350E-05,0.1297,0.5891E-03,0.1450,-0.8296E-25,0.2683E-31,0.4362E-36
26.00000000000,0.1263E-01,0.2456E-04,0.3304E-01,0.4222E-05,0.1692,0.9820E-03,0.1877,-0.2454E-24,0.4765E-31,0.8480E-36
28.00000000000,0.1924E-01,0.4466E-04,0.4610E-01,0.7391E-05,0.2116,0.1568E-02,0.2332,-0.6158E-24,0.6886E-31,0.1335E-35
30.00000000000,0.2799E-01,0.7827E-04,0.6175E-01,0.1266E-04,0.2557,0.2406E-02,0.2793,-0.1386E-23,0.5993E-31,0.1227E-35
32.00000000000,0.3907E-01,0.1318E-03,0.7964E-01,0.2095E-04,0.3000,0.3564E-02,0.3243,-0.2868E-23,-0.6935E-31,-0.1870E-35
34.00000000000,0.5258E-01,0.2145E-03,0.9895E-01,0.3365E-04,0.3437,0.5111E-02,0.3676,-0.5536E-23,-0.5419E-30,-0.1485E-34
36.00000000000,0.6851E-01,0.3383E-03,0.1196,0.5267E-04,0.3858,0.7113E-02,0.4092,-0.1008E-22,-0.1851E-29,-0.5531E-34
38.00000000000,0.8675E-01,0.5180E-03,0.1414,0.8055E-04,0.4259,0.9636E-02,0.4488,-0.1741E-22,-0.5009E-29,-0.1645E-33
40.00000000000,0.1071,0.7721E-03,0.1643,0.1206E-03,0.4637,0.1274E-01,0.4861,-0.2872E-22,-0.1196E-28,-0.4337E-33
42.00000000000,0.1291,0.1122E-02,0.1881,0.1771E-03,0.4989,0.1646E-01,0.5210,-0.4539E-22,-0.2630E-28,-0.1054E-32
44.00000000000,0.1519,0.1592E-02,0.2125,0.2552E-03,0.5317,0.2086E-01,0.5536,-0.6882E-22,-0.5435E-28,-0.2410E-32
46.00000000000,0.1755,0.2208E-02,0.2374,0.3614E-03,0.5619,0.2594E-01,0.5836,-0.1000E-21,-0.1069E-27,-0.5247E-32
48.00000000000,0.1998,0.2999E-02,0.2624,0.5032E-03,0.5898,0.3174E-01,0.6113,-0.1389E-21,-0.2018E-27,-0.1097E-31
50.00000000000,0.2249,0.3993E-02,0.2873,0.6897E-03,0.6154,0.3825E-01,0.6366,-0.1832E-21,-0.3680E-27,-0.2212E-31
52.00000000000,0.2506,0.5219E-02,0.3119,0.9313E-03,0.6390,0.4548E-01,0.6599,-0.2260E-21,-0.6508E-27,-0.4326E-31
54.00000000000,0.2767,0.6702E-02,0.3357,0.1240E-02,0.6605,0.5342E-01,0.6811,-0.2527E-21,-0.1121E-26,-0.8226E-31
56.00000000000,0.3030,0.8469E-02,0.3587,0.1628E-02,0.6803,0.6204E-01,0.7005,-0.2351E-21,-0.1883E-26,-0.1525E-30
58.00000000000,0.3293,0.1054E-01,0.3808,0.2110E-02,0.6984,0.7133E-01,0.7183,-0.1215E-21,-0.3097E-26,-0.2765E-30
60.00000000000,0.3553,0.1293E-01,0.4017,0.2701E-02,0.7150,0.8125E-01,0.7346,0.1784E-21,-0.4992E-26,-0.4905E-30
62.00000000000,0.3808,0.1565E-01,0.4216,0.3416E-02,0.7302,0.9178E-01,0.7496,0.8179E-21,-0.7901E-26,-0.8535E-30
64.00000000000,0.4056,0.1871E-01,0.4402,0.4271E-02,0.7441,0.1029,0.7634,0.2053E-20,-0.1230E-25,-0.1458E-29
66.00000000000,0.4295,0.2212E-01,0.4578,0.5282E-02,0.7570,0.1145,0.7760,0.4289E-20,-0.1883E-25,-0.2449E-29
68.00000000000,0.4526,0.2587E-01,0.4742,0.6464E-02,0.7688,0.1265,0.7877,0.8185E-20,-0.2843E-25,-0.4046E-29
70.00000000000,0.4746,0.2995E-01,0.4888,0.7830E-02,0.7797,0.1390,0.7985,0.1479E-19,-0.4231E-25,-0.6584E-29
72.00000000000,0.4955,0.3436E-01,0.5016,0.9395E-02,0.7897,0.1519,0.8085,0.2570E-19,-0.6215E-25,-0.1056E-28
74.00000000000,0.5154,0.3907E-01,0.5136,0.1117E-01,0.7989,0.1651,0.8177,0.4336E-19,-0.9015E-25,-0.1669E-28
76.00000000000,0.5342,0.4409E-01,0.5249,0.1317E-01,0.8075,0.1786,0.8262,0.7149E-19,-0.1292E-24,-0.2604E-28
78.00000000000,0.5520,0.4937E-01,0.5358,0.1539E-01,0.8154,0.1924,0.8341,0.1153E-18,-0.1831E-24,-0.4009E-28
80.00000000000,0.5681,0.5491E-01,0.5464,0.1785E-01,0.8227,0.2063,0.8415,0.1831E-18,-0.2565E-24,-0.6094E-28
82.00000000000,0.5827,0.6067E-01,0.5566,0.2055E-01,0.8296,0.2203,0.8483,0.2860E-18,-0.3556E-24,-0.9149E-28
84.00000000000,0.5964,0.6663E-01,0.5666,0.2348E-01,0.8359,0.2345,0.8547,0.4407E-18,-0.4881E-24,-0.1357E-27
86.00000000000,0.6096,0.7277E-01,0.5763,0.2666E-01,0.8419,0.2487,0.8606,0.6719E-18,-0.6632E-24,-0.1989E-27
88.00000000000,0.6224,0.7905E-01,0.5857,0.3006E-01,0.8474,0.2630,0.8661,0.1016E-17,-0.8927E-24,-0.2882E-27
90.00000000000,0.6349,0.8546E-01,0.5948,0.3369E-01,0.8526,0.2772,0.8712,0.1524E-17,-0.1190E-23,-0.4129E-27
92.00000000000,0.6469,0.9196E-01,0.6035,0.3751E-01,0.8573,0.2913,0.8760,0.2232E-17,-0.1573E-23,-0.5849E-27
94.00000000000,0.6586,0.9854E-01,0.6119,0.4151E-01,0.8616,0.3054,0.8805,0.3233E-17,-0.2060E-23,-0.8195E-27
96.00000000000,0.6698,0.1052,0.6199,0.4567E-01,0.8657,0.3194,0.8848,0.4597E-17,-0.2673E-23,-0.1136E-26
98.00000000000,0.6805,0.1118,0.6275,0.4993E-01,0.8696,0.3332,0.8887,0.6548E-17,-0.3439E-23,-0.1557E-26
100.0000000000,0.6907,0.1185,0.6347,0.5446E-01,0.8734,0.3469,0.8925,0.9341E-17,-0.4386E-23,-0.2111E-26
102.0000000000,0.7004,0.1251,0.6416,0.5931E-01,0.8771,0.3604,0.8960,0.1333E-16,-0.5546E-23,-0.2832E-26
104.0000000000,0.7097,0.1317,0.6482,0.6436E-01,0.8807,0.3737,0.8993,0.1680E-16,-0.6950E-23,-0.3758E-26
106.0000000000,0.7184,0.1383,0.6545,0.6956E-01,0.8842,0.3868,0.9025,0.2181E-16,-0.8634E-23,-0.4933E-26
108.0000000000,0.7268,0.1447,0.6605,0.7490E-01,0.8875,0.3997,0.9055,0.2896E-16,-0.1063E-22,-0.6403E-26
110.0000000000,0.7348,0.1512,0.6663,0.8036E-01,0.8908,0.4123,0.9083,0.3909E-16,-0.1297E-22,-0.8216E-26
112.0000000000,0.7423,0.1575,0.6717,0.8592E-01,0.8939,0.4247,0.9110,0.5330E-16,-0.1568E-22,-0.1042E-25
114.0000000000,0.7496,0.1637,0.6770,0.9158E-01,0.8969,0.4368,0.9136,0.7310E-16,-0.1878E-22,-0.1305E-25
116.0000000000,0.7565,0.1698,0.6821,0.9733E-01,0.8998,0.4487,0.9160,0.1005E-15,-0.2227E-22,-0.1612E-25
118.0000000000,0.7631,0.1759,0.6869,0.1032,0.9025,0.4604,0.9184,0.1382E-15,-0.2613E-22,-0.1963E-25
120.0000000000,0.7695,0.1817,0.6917,0.1090,0.9052,0.4717,0.9206,0.1898E-15,-0.3033E-22,-0.2352E-25
