time,mw1,mw2,mw3,mw4,mw5,mw6,mw7,mw8,mw9,mw10
2.0000E+00,2.7398E-08,3.7328E-10,3.1615E-08,1.5603E-11,4.0761E-06,1.3602E-08,4.9149E-06,1.7110E-43,8.5512E-36,-3.4160E-85
4.0000E+00,3.8481E-07,1.9945E-09,4.8846E-07,4.2464E-11,4.1118E-05,7.0304E-08,4.7676E-05,2.6007E-42,3.5603E-34,6.9426E-84
6.0000E+00,2.0480E-06,5.1167E-09,2.7570E-06,3.3614E-10,2.2733E-04,3.6155E-07,2.5465E-04,2.4696E-41,3.5775E-33,8.8905E-83
8.0000E+00,8.3525E-06,2.3965E-08,1.1377E-05,1.7568E-09,8.7211E-04,1.1838E-06,9.5639E-04,1.8225E-40,2.3114E-32,5.3940E-82
1.0000E+01,2.8786E-05,1.0729E-07,3.9355E-05,8.1762E-09,2.5913E-03,3.6455E-06,2.8038E-03,1.1523E-39,1.1435E-31,1.7970E-81
1.2000E+01,8.5563E-05,2.6085E-07,1.1791E-04,2.1357E-08,6.3515E-03,8.7200E-06,6.8137E-03,6.1717E-39,4.6208E-31,-2.0211E-82
1.4000E+01,2.2218E-04,5.4731E-07,3.1088E-04,5.7215E-08,1.3378E-02,1.9827E-05,1.4267E-02,2.8195E-38,1.5905E-30,-4.6770E-80
1.6000E+01,5.1849E-04,1.2158E-06,7.3716E-04,1.2612E-07,2.4929E-02,4.2255E-05,2.6473E-02,1.1279E-37,4.7294E-30,-3.7221E-79
1.8000E+01,1.1002E-03,2.5151E-06,1.5886E-03,2.6490E-07,4.2007E-02,8.3891E-05,4.4472E-02,4.0772E-37,1.2293E-29,-2.0032E-78
2.0000E+01,2.1503E-03,5.2197E-06,3.1457E-03,5.3347E-07,6.5138E-02,1.5631E-04,6.8801E-02,1.3670E-36,2.7890E-29,-8.7390E-78
2.2000E+01,3.9134E-03,1.0464E-05,5.7795E-03,1.0283E-06,9.4259E-02,2.7567E-04,9.9383E-02,4.3081E-36,5.4723E-29,-3.2998E-77
2.4000E+01,6.6851E-03,2.0174E-05,9.9289E-03,1.9112E-06,1.2877E-01,4.6321E-04,1.3558E-01,1.2773E-35,8.8503E-29,-1.1150E-76
2.6000E+01,1.0797E-02,3.7309E-05,1.6059E-02,3.4330E-06,1.6767E-01,7.4543E-04,1.7631E-01,3.5648E-35,9.8995E-29,-3.4412E-76
2.8000E+01,1.6587E-02,6.6126E-05,2.4605E-02,5.9639E-06,2.0974E-01,1.1542E-03,2.2030E-01,9.3852E-35,-1.2869E-29,-9.8332E-76
3.0000E+01,2.4366E-02,1.1276E-04,3.5910E-02,1.0041E-05,2.5370E-01,1.7267E-03,2.6620E-01,2.3433E-34,-4.9662E-28,-2.6276E-75
3.2000E+01,3.4392E-02,1.8533E-04,5.0175E-02,1.6392E-05,2.9836E-01,2.5044E-03,3.1275E-01,5.5847E-34,-1.8998E-27,-6.6143E-75
3.4000E+01,4.6838E-02,2.9516E-04,6.7432E-02,2.6064E-05,3.4271E-01,3.5326E-03,3.5889E-01,1.2784E-33,-5.3270E-27,-1.5773E-74
3.6000E+01,6.1775E-02,4.5632E-04,8.7534E-02,4.0475E-05,3.8592E-01,4.8600E-03,4.0376E-01,2.8227E-33,-1.2875E-26,-3.5780E-74
3.8000E+01,7.9166E-02,6.8603E-04,1.1018E-01,6.1483E-05,4.2736E-01,6.5385E-03,4.4672E-01,6.0259E-33,-2.8376E-26,-7.7436E-74
4.0000E+01,9.8869E-02,1.0045E-03,1.3496E-01,9.1480E-05,4.6662E-01,8.6225E-03,4.8739E-01,1.2459E-32,-5.8604E-26,-1.6017E-73
4.2000E+01,1.2064E-01,1.4351E-03,1.6136E-01,1.3348E-04,5.0269E-01,1.1169E-02,5.2555E-01,2.4986E-32,-1.1522E-25,-3.1678E-73
4.4000E+01,1.4418E-01,2.0034E-03,1.8887E-01,1.9121E-04,5.3549E-01,1.4237E-02,5.6103E-01,4.8694E-32,-2.1782E-25,-5.9831E-73
4.6000E+01,1.6910E-01,2.7366E-03,2.1697E-01,2.6925E-04,5.6585E-01,1.7897E-02,5.9381E-01,9.2406E-32,-3.9867E-25,-1.0754E-72
4.8000E+01,1.9505E-01,3.6645E-03,2.4517E-01,3.7306E-04,5.9414E-01,2.2213E-02,6.2393E-01,1.7118E-31,-7.0980E-25,-1.8258E-72
5.0000E+01,2.2162E-01,4.8120E-03,2.7306E-01,5.0901E-04,6.2045E-01,2.7237E-02,6.5148E-01,3.1020E-31,-1.2338E-24,-2.8848E-72
5.2000E+01,2.4847E-01,6.2079E-03,3.0029E-01,6.8455E-04,6.4483E-01,3.3029E-02,6.7661E-01,5.5108E-31,-2.0987E-24,-4.1095E-72
5.4000E+01,2.7527E-01,7.8758E-03,3.2659E-01,9.0806E-04,6.6728E-01,3.9637E-02,6.9948E-01,9.6134E-31,-3.4999E-24,-4.8556E-72
5.6000E+01,3.0175E-01,9.8367E-03,3.5175E-01,1.1889E-03,6.8788E-01,4.7101E-02,7.2025E-01,1.6485E-30,-5.7294E-24,-3.2746E-72
5.8000E+01,3.2768E-01,1.2108E-02,3.7564E-01,1.5376E-03,7.0672E-01,5.5450E-02,7.3910E-01,2.7808E-30,-9.2168E-24,5.1295E-72
6.0000E+01,3.5290E-01,1.4700E-02,3.9814E-01,1.9649E-03,7.2390E-01,6.4382E-02,7.5619E-01,4.6165E-30,-1.4585E-23,3.0331E-71
6.2000E+01,3.7727E-01,1.7621E-02,4.1917E-01,2.4830E-03,7.3957E-01,7.3953E-02,7.7168E-01,7.5454E-30,-2.2723E-23,9.3155E-71
6.4000E+01,4.0071E-01,2.0874E-02,4.3876E-01,3.1041E-03,7.5385E-01,8.4315E-02,7.8573E-01,1.2147E-29,-3.4884E-23,2.3517E-70
6.6000E+01,4.2316E-01,2.4455E-02,4.5692E-01,3.8410E-03,7.6689E-01,9.4820E-02,7.9823E-01,1.9273E-29,-5.2806E-23,5.3650E-70
6.8000E+01,4.4461E-01,2.8359E-02,4.7361E-01,4.7066E-03,7.7880E-01,1.0612E-01,8.0909E-01,3.0156E-29,-7.8856E-23,1.1470E-69
7.0000E+01,4.6506E-01,3.2573E-02,4.8876E-01,5.7135E-03,7.8976E-01,1.1851E-01,8.1897E-01,4.6572E-29,-1.1621E-22,2.3404E-69
7.2000E+01,4.8453E-01,3.7082E-02,5.0330E-01,6.8743E-03,7.9985E-01,1.3201E-01,8.2817E-01,7.1053E-29,-1.6906E-22,4.6051E-69
7.4000E+01,5.0305E-01,4.1870E-02,5.1720E-01,8.2010E-03,8.0914E-01,1.4647E-01,8.3678E-01,1.0719E-28,-2.4285E-22,8.7970E-69
7.6000E+01,5.2065E-01,4.6915E-02,5.3037E-01,9.7045E-03,8.1771E-01,1.6168E-01,8.4485E-01,1.6002E-28,-3.4459E-22,1.6389E-68
7.8000E+01,5.3738E-01,5.2195E-02,5.4275E-01,1.1395E-02,8.2562E-01,1.7744E-01,8.5237E-01,2.3655E-28,-4.8317E-22,2.9873E-68
8.0000E+01,5.5329E-01,5.7687E-02,5.5435E-01,1.3281E-02,8.3294E-01,1.9357E-01,8.5936E-01,3.4646E-28,-6.6972E-22,5.3411E-68
8.2000E+01,5.6843E-01,6.3367E-02,5.6520E-01,1.5371E-02,8.3973E-01,2.0992E-01,8.6577E-01,5.0291E-28,-9.1798E-22,9.3844E-68
8.4000E+01,5.8283E-01,6.9212E-02,5.7535E-01,1.7670E-02,8.4605E-01,2.2636E-01,8.7157E-01,7.2365E-28,-1.2447E-21,1.6229E-67
8.6000E+01,5.9655E-01,7.5197E-02,5.8484E-01,2.0183E-02,8.5193E-01,2.4280E-01,8.7688E-01,1.0324E-27,-1.6700E-21,2.7659E-67
8.8000E+01,6.0963E-01,8.1300E-02,5.9375E-01,2.2913E-02,8.5742E-01,2.5917E-01,8.8180E-01,1.4604E-27,-2.2176E-21,4.6504E-67
9.0000E+01,6.2210E-01,8.7498E-02,6.0212E-01,2.5863E-02,8.6256E-01,2.7537E-01,8.8640E-01,2.0487E-27,-2.9156E-21,7.7208E-67
9.2000E+01,6.3400E-01,9.3769E-02,6.1002E-01,2.9032E-02,8.6737E-01,2.9137E-01,8.9071E-01,2.8508E-27,-3.7959E-21,1.2668E-66
9.4000E+01,6.4538E-01,1.0009E-01,6.1750E-01,3.2418E-02,8.7189E-01,3.0709E-01,8.9477E-01,3.9356E-27,-4.8951E-21,2.0554E-66
9.6000E+01,6.5625E-01,1.0645E-01,6.2461E-01,3.6019E-02,8.7614E-01,3.2252E-01,8.9860E-01,5.3918E-27,-6.2542E-21,3.3003E-66
9.8000E+01,6.6665E-01,1.1283E-01,6.3137E-01,3.9833E-02,8.8015E-01,3.3761E-01,9.0221E-01,7.3332E-27,-7.9183E-21,5.2467E-66
1.0000E+02,6.7660E-01,1.1920E-01,6.3783E-01,4.3852E-02,8.8392E-01,3.5233E-01,9.0564E-01,9.9046E-27,-9.9367E-21,8.2632E-66
1.0200E+02,6.8613E-01,1.2556E-01,6.4401E-01,4.8069E-02,8.8750E-01,3.6667E-01,9.0887E-01,1.3291E-26,-1.2362E-20,1.2899E-65
1.0400E+02,6.9526E-01,1.3189E-01,6.4994E-01,5.2478E-02,8.9087E-01,3.8061E-01,9.1194E-01,1.7725E-26,-1.5251E-20,1.9964E-65
